
=== Cover Fetch: 4086 entries (50 to 4136) ===
Total missing: 4136 | Dry run: false
[212/4136] DC Comics | Flash #78... OK (amazon, 69KB)
[213/4136] DC Comics | Flash #79... OK (amazon, 41KB)
[214/4136] DC Comics | Flash #8... OK (amazon, 85KB)
[215/4136] DC Comics | Flash #80... OK (amazon, 95KB)
[216/4136] DC Comics | Flash #81... OK (amazon, 63KB)
[217/4136] DC Comics | Flash #82... OK (amazon, 61KB)
[218/4136] DC Comics | Flash #83... ERROR: Image too small (placeholder?)
[219/4136] DC Comics | Flash #84... OK (amazon, 68KB)
[220/4136] DC Comics | Flash #85... OK (amazon, 91KB)
[221/4136] DC Comics | Flash #86... OK (amazon, 101KB)
[222/4136] DC Comics | Flash #87... OK (amazon, 85KB)
[223/4136] DC Comics | Flash #88... OK (amazon, 82KB)
[224/4136] DC Comics | Flash #89... OK (amazon, 56KB)
[225/4136] DC Comics | Flash #9... OK (amazon, 82KB)
[226/4136] DC Comics | Flash #90... OK (amazon, 42KB)
[227/4136] DC Comics | Flash #91... OK (amazon, 74KB)
[228/4136] DC Comics | Flash #92... OK (amazon, 83KB)
[229/4136] DC Comics | Flash #93... OK (amazon, 93KB)
[230/4136] DC Comics | Flash #94... OK (amazon, 86KB)
[231/4136] DC Comics | Flash #95... OK (amazon, 58KB)
[232/4136] DC Comics | Flash #96... OK (amazon, 58KB)
[233/4136] DC Comics | Flash #97... OK (amazon, 43KB)
[234/4136] DC Comics | Flash #98... OK (amazon, 52KB)
[235/4136] DC Comics | Flash #99... OK (amazon, 58KB)
[236/4136] DC Comics | Green Lantern... OK (amazon, 68KB)
[237/4136] DC Comics | Green Lantern #201... OK (amazon, 84KB)
[238/4136] DC Comics | Green Lantern #202... OK (amazon, 48KB)
[239/4136] DC Comics | Green Lantern #203... OK (amazon, 35KB)
[240/4136] DC Comics | Green Lantern #204... OK (amazon, 76KB)
[241/4136] DC Comics | Green Lantern #205... OK (amazon, 46KB)
[242/4136] DC Comics | Superman #1,000,000... OK (amazon, 54KB)
[243/4136] DC Comics | Superman #190 [Special Edition]... OK (amazon, 74KB)
[244/4136] DC Comics | Superman #190 [Standard Edition]... OK (amazon, 74KB)
[245/4136] DC Comics | Superman #78 [Collector's Edition]... OK (amazon, 74KB)
[246/4136] DC Comics | Superman #82 [Collector's Edition]... OK (amazon, 68KB)
[247/4136] DC Comics | Wonder Woman #1,000,000... OK (amazon, 59KB)
[248/4136] Image Comics | Birthright #1... OK (amazon, 91KB)
[249/4136] Image Comics | Birthright #10... OK (amazon, 62KB)
[250/4136] Image Comics | Birthright #11... OK (amazon, 38KB)
[251/4136] Image Comics | Birthright #12... OK (amazon, 91KB)
[252/4136] Image Comics | Birthright #13... OK (amazon, 91KB)
[253/4136] Image Comics | Birthright #14... OK (amazon, 46KB)
[254/4136] Image Comics | Birthright #15... OK (amazon, 91KB)
[255/4136] Image Comics | Birthright #16... OK (amazon, 72KB)
[256/4136] Image Comics | Birthright #17... OK (amazon, 68KB)
[257/4136] Image Comics | Birthright #18... OK (amazon, 61KB)
[258/4136] Image Comics | Birthright #19... OK (amazon, 24KB)
[259/4136] Image Comics | Birthright #2... OK (amazon, 87KB)
[260/4136] Image Comics | Birthright #20... OK (amazon, 65KB)
[261/4136] Image Comics | Birthright #21... OK (amazon, 75KB)
[262/4136] Image Comics | Birthright #22... OK (amazon, 84KB)
[263/4136] Image Comics | Birthright #23... OK (amazon, 68KB)
[264/4136] Image Comics | Birthright #24... OK (amazon, 70KB)
[265/4136] Image Comics | Birthright #25... OK (amazon, 83KB)
[266/4136] Image Comics | Birthright #26... OK (amazon, 59KB)
[267/4136] Image Comics | Birthright #27... OK (amazon, 91KB)
[268/4136] Image Comics | Birthright #28... OK (amazon, 91KB)
